# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
3.3            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.3            	U              	(1.54399462e-01 4.34130715e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.54399462e-01 4.34130715e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.35           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.35           	U              	(1.55633587e-01 4.33321054e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.55633587e-01 4.33321054e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.4            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.4            	U              	(1.56857038e-01 4.32475922e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.56857038e-01 4.32475922e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.45           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.45           	U              	(1.58070025e-01 4.31597508e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.58070025e-01 4.31597508e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.5            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.5            	U              	(1.59272751e-01 4.30687810e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.59272751e-01 4.30687810e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.55           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.55           	U              	(1.60465411e-01 4.29748644e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.60465411e-01 4.29748644e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.6            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.6            	U              	(1.61648191e-01 4.28781645e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.61648191e-01 4.28781645e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.65           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.65           	U              	(1.62821271e-01 4.27788378e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.62821271e-01 4.27788378e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.7            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.7            	U              	(1.63984823e-01 4.26770221e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.63984823e-01 4.26770221e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.75           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.75           	U              	(1.65139013e-01 4.25728478e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.65139013e-01 4.25728478e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.8            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.8            	U              	(1.66284000e-01 4.24664369e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.66284000e-01 4.24664369e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.85           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.85           	U              	(1.67419937e-01 4.23579025e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.67419937e-01 4.23579025e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.9            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.9            	U              	(1.68546973e-01 4.22473504e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.68546973e-01 4.22473504e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
3.95           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
3.95           	U              	(1.69665250e-01 4.21348800e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.69665250e-01 4.21348800e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4              	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4              	U              	(1.70774905e-01 4.20205852e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.70774905e-01 4.20205852e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.05           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.05           	U              	(1.71876072e-01 4.19045569e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.71876072e-01 4.19045569e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.1            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.1            	U              	(1.72968878e-01 4.17868781e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.72968878e-01 4.17868781e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.15           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.15           	U              	(1.74053447e-01 4.16676289e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.74053447e-01 4.16676289e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.2            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.2            	U              	(1.75129898e-01 4.15468859e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.75129898e-01 4.15468859e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.25           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.25           	U              	(1.76198348e-01 4.14247205e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.76198348e-01 4.14247205e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.3            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.3            	U              	(1.77258910e-01 4.13012056e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.77258910e-01 4.13012056e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.35           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.35           	U              	(1.78311689e-01 4.11764023e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.78311689e-01 4.11764023e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.4            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.4            	U              	(1.79356794e-01 4.10503763e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.79356794e-01 4.10503763e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.45           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.45           	U              	(1.80394324e-01 4.09231864e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.80394324e-01 4.09231864e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.5            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.5            	U              	(1.81424380e-01 4.07948918e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.81424380e-01 4.07948918e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.55           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.55           	U              	(1.82447057e-01 4.06655446e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.82447057e-01 4.06655446e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.6            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.6            	U              	(1.83462448e-01 4.05351981e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.83462448e-01 4.05351981e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.65           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.65           	U              	(1.84470644e-01 4.04039036e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.84470644e-01 4.04039036e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.7            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.7            	U              	(1.85471733e-01 4.02717066e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.85471733e-01 4.02717066e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.75           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.75           	U              	(1.86465800e-01 4.01386541e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.86465800e-01 4.01386541e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.8            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.8            	U              	(1.87452929e-01 4.00047892e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.87452929e-01 4.00047892e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.85           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.85           	U              	(1.88433202e-01 3.98701557e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.88433202e-01 3.98701557e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.9            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.9            	U              	(1.89406695e-01 3.97347905e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.89406695e-01 3.97347905e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
4.95           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
4.95           	U              	(1.90373487e-01 3.95987348e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.90373487e-01 3.95987348e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5              	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5              	U              	(1.91333653e-01 3.94620256e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.91333653e-01 3.94620256e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.05           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.05           	U              	(1.92287264e-01 3.93246982e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.92287264e-01 3.93246982e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.1            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.1            	U              	(1.93234393e-01 3.91867866e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.93234393e-01 3.91867866e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.15           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.15           	U              	(1.94175111e-01 3.90483239e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.94175111e-01 3.90483239e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.2            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.2            	U              	(1.95109484e-01 3.89093414e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.95109484e-01 3.89093414e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.25           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.25           	U              	(1.96037578e-01 3.87698703e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.96037578e-01 3.87698703e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.3            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.3            	U              	(1.96959460e-01 3.86299408e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.96959460e-01 3.86299408e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.35           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.35           	U              	(1.97875192e-01 3.84895810e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.97875192e-01 3.84895810e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.4            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.4            	U              	(1.98784836e-01 3.83488189e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.98784836e-01 3.83488189e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.45           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.45           	U              	(1.99688454e-01 3.82076818e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(1.99688454e-01 3.82076818e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.5            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.5            	U              	(2.00586103e-01 3.80661951e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.00586103e-01 3.80661951e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.55           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.55           	U              	(2.01477844e-01 3.79243843e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.01477844e-01 3.79243843e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.6            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.6            	U              	(2.02363732e-01 3.77822740e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.02363732e-01 3.77822740e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.65           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.65           	U              	(2.03243823e-01 3.76398873e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.03243823e-01 3.76398873e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.7            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.7            	U              	(2.04118172e-01 3.74972475e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.04118172e-01 3.74972475e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.75           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.75           	U              	(2.04986834e-01 3.73543768e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.04986834e-01 3.73543768e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.8            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.8            	U              	(2.05849859e-01 3.72112963e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.05849859e-01 3.72112963e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.85           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.85           	U              	(2.06707301e-01 3.70680273e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.06707301e-01 3.70680273e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.9            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.9            	U              	(2.07559210e-01 3.69245900e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.07559210e-01 3.69245900e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
5.95           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
5.95           	U              	(2.08405635e-01 3.67810037e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.08405635e-01 3.67810037e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6              	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6              	U              	(2.09246626e-01 3.66372879e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.09246626e-01 3.66372879e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.05           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.05           	U              	(2.10082230e-01 3.64934609e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.10082230e-01 3.64934609e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.1            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.1            	U              	(2.10912494e-01 3.63495407e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.10912494e-01 3.63495407e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.15           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.15           	U              	(2.11737466e-01 3.62055447e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.11737466e-01 3.62055447e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.2            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.2            	U              	(2.12557190e-01 3.60614899e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.12557190e-01 3.60614899e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.25           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.25           	U              	(2.13371711e-01 3.59173929e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.13371711e-01 3.59173929e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.3            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.3            	U              	(2.14181075e-01 3.57732696e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.14181075e-01 3.57732696e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.35           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.35           	U              	(2.14985323e-01 3.56291356e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.14985323e-01 3.56291356e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.4            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.4            	U              	(2.15784498e-01 3.54850061e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.15784498e-01 3.54850061e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.45           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.45           	U              	(2.16578644e-01 3.53408956e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.16578644e-01 3.53408956e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.5            	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
6.5            	U              	(2.17367801e-01 3.51968186e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)	(2.17367801e-01 3.51968186e-04 0.00000000e+00)	(4.99206414e-02 -4.34587305e-01 5.00000000e-02)
6.55           	p              	0.00000000e+00	(9.98412828e+00 -4.34587305e-01 5.00000000e-02)	1.53103000e+00	(0.00000000e+00 -4.34587305e-01 5.00000000e-02)
